time_stamp,price_usd_close,price_drawdown_relative,block_count,block_interval_mean,block_interval_median,block_size_mean,block_size_sum,utxo_created_count,utxo_spent_count,utxo_created_value_sum,utxo_spent_value_sum,utxo_created_value_mean,utxo_spent_value_mean,utxo_created_value_median,utxo_spent_value_median,address_count,sending_count,receiving_count,active_count,new_non_zero_count,volume_sum,volume_mean,volume_median,difficulty_latest,hash_rate_mean,active_more_1y_percent,count,rate,size_mean,transfers_volume_sum,transfers_volume_mean,transfers_volume_median
2016-01-01,434.8839824640039,-0.625951840890909,135,649.437037037037,456,493407.133333333,66609963,361519,329094,957481.33860626,954106.33860626,2.64849520663164,2.89919092601584,0.01625847,0.023694999999999997,115629296,198638,263061,316489,145528,19.82080598,0.00015990065893800001,0.0001,446162666499717000000,686999110083512000,0.604682848298782,123957,1.4346875,537.041570867327,954086.51780028,7.69691520285491,0.22977942
2016-01-02,434.92242033909116,-0.6259187800815981,145,597.537931034483,389,579743.724137931,84062840,455120,423876,1037919.8070222,1034294.8070222,2.28054097166061,2.44008815555068,0.010012740000000001,0.01010756,115810686,287355,333039,419389,181390,31.37600479,0.00021072854190500002,0.0001,446162666499717000000,746668359157219000,0.6047780627634081,148893,1.723298611111111,564.309007139353,1034263.43101741,6.94635362990477,0.17128463
2016-01-03,430.9997978270536,-0.6292926678049271,145,600.296551724138,383,554655.737931035,80425082,478708,387214,898547.95905675,894922.95905675,1.87702724637304,2.31118440721862,0.009600000000000001,0.01959299,115983606,236219,336780,394047,172920,24.08304879,0.000169047744256,0.0001,446162666499717000000,743237097095217000,0.604671979551005,142463,1.648877314814814,564.27901279631,894898.87600796,6.28162313027211,0.21320209
2016-01-04,433.90199131687206,-0.626796461515391,181,482.353591160221,352,556970.386740332,100811640,492865,497320,1067068.3864188,1062543.3864188,2.16503177628518,2.13653861983994,0.023020040000000002,0.01954084,116198416,289923,345611,418253,214810,30.74684308,0.000169709852351,0.0001,446162666499717000000,924970135345209000,0.604670465380961,181173,2.096909722222222,556.21405507442,1062512.63957572,5.86463015778128,0.21571393
2016-01-05,433.16659869576245,-0.62742898022668,157,553.369426751592,399,641778.949044586,100759295,506371,499843,1392599.19758624,1388674.19758624,2.75015590858527,2.77822075649001,0.02308509,0.02514792,116419547,299793,359452,434786,221131,32.27846687,0.00017714592111400001,0.0001,446162666499717000000,806265480040695000,0.604725868498955,182214,2.108958333333333,552.663137848898,1388641.91911937,7.62093976927878,0.25584143
2016-01-06,429.9253492492494,-0.630216812010717,141,618.177304964539,391,662380.163120567,93395603,440544,455650,1337496.90880526,1333971.90880526,3.03601208688635,2.9276240728744902,0.03554127,0.02756217,116624714,271512,312167,379343,205167,30.40324362,0.00017681547214500002,0.0001,446162666499717000000,721738994486882000,0.60555788033645,171949,1.990150462962963,542.953997987778,1333941.50556164,7.75777413978366,0.26591567
2016-01-07,458.7099236879629,-0.605458905273072,147,587.755102040816,471,704715.673469388,103593204,535250,495914,1606573.86367237,1602898.86367237,3.00153921283955,3.23221135856694,0.02223655,0.028851830000000002,116851406,290107,364071,429901,226692,37.02453793,0.00019477680183200001,0.0001,446162666499717000000,759096203419657000,0.604231199797517,190087,2.2000810185185182,544.718976047819,1602861.83913444,8.43225385815169,0.26495012
2016-01-08,454.05328330860004,-0.609464129267906,173,507.260115606936,341,583649.358381503,100971339,490006,504512,1195551.72997421,1191226.72997421,2.43987161376434,2.36114647416555,0.0220327,0.02082193,117067608,299172,340035,413695,216202,32.53002298,0.000179491833651,0.0001,446162666499717000000,879554005474851000,0.609650719784762,181234,2.09761574074074,556.902159638916,1191194.19995123,6.5726861403006005,0.25157212
2016-01-09,449.69718279879146,-0.6132108558485361,151,569.854304635762,434,638665.410596026,96438477,551926,471467,849532.15428726,845757.15428726,1.53921386977105,1.79388409854191,0.00714633,0.0122218,117288723,299047,390619,450544,221115,30.22393822,0.00016808165090000002,0.0001,446162666499717000000,782941644680379000,0.6097276544662491,179817,2.081215277777778,536.110662506874,845726.93034904,4.70326459872557,0.16553685
2016-01-10,448.95363526897563,-0.6138503886801701,175,497.908571428571,371,522421.931428571,91423838,514568,445483,1160859.93187497,1156484.93187497,2.25598935782051,2.5960248356838997,0.0089813,0.01417434,117492140,264384,365907,432601,203417,27.95780106,0.00017349791525400003,0.0001,446162666499717000000,896073480357271000,0.6101431237490731,161142,1.865069444444444,567.052165171092,1156456.97407391,7.17663287084617,0.19163852
