time_stamp,CL=F,CPI,DXYN,GC=F,SI=F,^DJI,^IXIC,^RUT,^TNX,EURUSD=X,GBPUSD=X,^FTSE,N225
2020-07-21,41.959999084472656,27.15999984741211,0.9200000166893005,1842.4000244140625,21.496999740600586,26840.400390625,10680.3603515625,1487.510009765625,0.6069999933242798,1.1458691358566284,1.266175389289856,6269.7001953125,22884.220703125
2020-07-22,41.900001525878906,27.200000762939453,0.9300000071525574,1864.0999755859375,23.08300018310547,27005.83984375,10706.1298828125,1490.1400146484375,0.5950000286102295,1.15340256690979,1.2730745077133179,6207.10009765625,22751.609375
2020-07-23,41.06999969482422,27.190000534057617,0.8999999761581421,1889.0999755859375,22.94499969482422,26652.330078125,10461.419921875,1490.199951171875,0.5820000171661377,1.1568717956542969,1.2729934453964233,6211.39990234375,22751.609375
2020-07-24,41.290000915527344,27.170000076293945,0.9100000262260437,1897.300048828125,22.808000564575195,26469.890625,10363.1796875,1467.550048828125,0.5889999866485596,1.1596084833145142,1.2730745077133179,6123.7998046875,22751.609375
2020-07-25,41.599998474121094,27.200000762939453,0.8799999952316284,1931.0,24.47599983215332,26584.76953125,10536.26953125,1484.6500244140625,0.609000027179718,1.1652567386627197,1.2795906066894531,6104.89990234375,22715.849609375
2020-07-26,41.599998474121094,27.200000762939453,0.8799999952316284,1931.0,24.47599983215332,26584.76953125,10536.26953125,1484.6500244140625,0.609000027179718,1.1652567386627197,1.2795906066894531,6104.89990234375,22715.849609375
2020-07-27,41.599998474121094,27.200000762939453,0.8799999952316284,1931.0,24.47599983215332,26584.76953125,10536.26953125,1484.6500244140625,0.609000027179718,1.1652567386627197,1.2795906066894531,6104.89990234375,22715.849609375
2020-07-28,41.040000915527344,27.239999771118164,0.8999999761581421,1944.699951171875,24.266000747680664,26379.279296875,10402.08984375,1469.760009765625,0.5809999704360962,1.1769275665283203,1.2889753580093384,6129.2998046875,22657.380859375
2020-07-29,41.27000045776367,27.309999465942383,0.9200000166893005,1953.5,24.292999267578125,26539.5703125,10542.9404296875,1500.6300048828125,0.5789999961853027,1.171879529953003,1.292373776435852,6131.5,22397.109375
2020-07-30,39.91999816894531,27.299999237060547,1.1699999570846558,1942.300048828125,23.34000015258789,26313.650390625,10587.8095703125,1495.0999755859375,0.5410000085830688,1.1782865524291992,1.298246145248413,5990.0,22339.23046875
2020-07-31,40.27000045776367,27.290000915527344,1.0499999523162842,1962.800048828125,24.18899917602539,26428.3203125,10745.26953125,1480.4300537109375,0.5360000133514404,1.1872254610061646,1.311785101890564,5897.7998046875,21710.0
2020-08-01,41.0099983215332,27.270000457763672,1.0700000524520874,1966.0,24.389999389648438,26664.400390625,10902.7998046875,1506.800048828125,0.5630000233650208,1.1782310009002686,1.3101695775985718,6032.89990234375,22195.380859375
2020-08-02,41.0099983215332,27.270000457763672,1.0700000524520874,1966.0,24.389999389648438,26664.400390625,10902.7998046875,1506.800048828125,0.5630000233650208,1.1782310009002686,1.3101695775985718,6032.89990234375,22195.380859375
2020-08-03,41.0099983215332,27.270000457763672,1.0700000524520874,1966.0,24.389999389648438,26664.400390625,10902.7998046875,1506.800048828125,0.5630000233650208,1.1782310009002686,1.3101695775985718,6032.89990234375,22195.380859375
2020-08-04,41.70000076293945,27.309999465942383,1.190000057220459,2001.199951171875,26.011999130249023,26828.470703125,10941.169921875,1517.2099609375,0.5149999856948853,1.1763322353363037,1.3078734874725342,6036.0,22573.66015625
2020-08-05,42.189998626708984,27.290000915527344,1.159999966621399,2031.0999755859375,26.87700080871582,27201.51953125,10998.400390625,1546.239990234375,0.5429999828338623,1.181544303894043,1.3086093664169312,6104.7001953125,22514.849609375
2020-08-06,41.95000076293945,27.299999237060547,1.0199999809265137,2051.5,28.386999130249023,27386.98046875,11108.0703125,1544.6199951171875,0.5360000133514404,1.187281847000122,1.3126804828643799,6026.89990234375,22418.150390625
2020-08-07,41.220001220703125,27.329999923706055,0.9700000286102295,2010.0999755859375,27.533000946044922,27433.48046875,11010.98046875,1569.1800537109375,0.5619999766349792,1.1876484155654907,1.3138015270233154,6032.2001953125,22329.939453125
2020-08-08,41.939998626708984,27.34000015258789,0.9800000190734863,2024.4000244140625,29.249000549316406,27791.439453125,10968.3603515625,1584.6700439453125,0.5740000009536743,1.1782727241516113,1.3052273988723755,6050.60009765625,22329.939453125
2020-08-09,41.939998626708984,27.34000015258789,0.9800000190734863,2024.4000244140625,29.249000549316406,27791.439453125,10968.3603515625,1584.6700439453125,0.5740000009536743,1.1782727241516113,1.3052273988723755,6050.60009765625,22329.939453125
2020-08-10,41.939998626708984,27.34000015258789,0.9800000190734863,2024.4000244140625,29.249000549316406,27791.439453125,10968.3603515625,1584.6700439453125,0.5740000009536743,1.1782727241516113,1.3052273988723755,6050.60009765625,22329.939453125
2020-08-11,41.61000061035156,27.290000915527344,0.9399999976158142,1932.5999755859375,26.03700065612793,27686.91015625,10782.8203125,1575.0999755859375,0.6579999923706055,1.1737778186798096,1.3077194690704346,6154.2998046875,22750.240234375
2020-08-12,42.66999816894531,27.31999969482422,0.9300000071525574,1934.9000244140625,25.954999923706055,27976.83984375,11012.240234375,1583.25,0.6700000166893005,1.1736538410186768,1.3050740957260132,6280.10009765625,22843.9609375
2020-08-13,42.2400016784668,27.280000686645508,0.8799999952316284,1956.699951171875,27.694000244140625,27896.720703125,11042.5,1579.7900390625,0.7160000205039978,1.179380178451538,1.3048017024993896,6185.60009765625,23249.609375
2020-08-14,42.0099983215332,27.280000686645508,0.8899999856948853,1937.0,26.065000534057617,27931.01953125,11019.2998046875,1577.8800048828125,0.7089999914169312,1.1816558837890625,1.3070528507232666,6090.0,23289.359375
2020-08-15,42.88999938964844,27.309999465942383,0.8799999952316284,1985.0,27.64299964904785,27844.91015625,11129.73046875,1585.469970703125,0.6830000281333923,1.1852554082870483,1.3107001781463623,6127.39990234375,23096.75
