time_stamp,Close,000001.SS,DX-Y.NYB,GC=F,GLD,IAU,^DJI,^FTSE,^GSPC,^IXIC,^N225,^STOXX50E,^VIX
2016-01-01,434.3340148925781,3296.258056640625,98.87000274658203,1075.0999755859375,102.88999938964844,20.760000228881836,17148.939453125,6093.39990234375,2012.6600341796875,4903.08984375,18450.98046875,3164.760009765625,20.700000762939453
2016-01-02,433.43798828125,3296.258056640625,98.87000274658203,1075.0999755859375,102.88999938964844,20.760000228881836,17148.939453125,6093.39990234375,2012.6600341796875,4903.08984375,18450.98046875,3164.760009765625,20.700000762939453
2016-01-03,430.010986328125,3296.258056640625,98.87000274658203,1075.0999755859375,102.88999938964844,20.760000228881836,17148.939453125,6093.39990234375,2012.6600341796875,4903.08984375,18450.98046875,3164.760009765625,20.700000762939453
2016-01-04,433.09100341796875,3296.258056640625,98.87000274658203,1075.0999755859375,102.88999938964844,20.760000228881836,17148.939453125,6093.39990234375,2012.6600341796875,4903.08984375,18450.98046875,3164.760009765625,20.700000762939453
2016-01-05,431.9599914550781,3287.7109375,99.4000015258789,1078.4000244140625,103.18000030517578,20.799999237060547,17158.66015625,6137.2001953125,2016.7099609375,4891.43017578125,18374.0,3178.010009765625,19.34000015258789
2016-01-06,429.1050109863281,3361.840087890625,99.18000030517578,1091.9000244140625,104.66999816894531,21.139999389648438,16906.509765625,6073.39990234375,1990.260009765625,4835.759765625,18191.3203125,3139.320068359375,20.59000015258789
2016-01-07,458.0480041503906,3125.001953125,98.22000122070312,1107.699951171875,106.1500015258789,21.440000534057617,16514.099609375,5954.10009765625,1943.0899658203125,4689.43017578125,17767.33984375,3084.679931640625,24.989999771118164
2016-01-08,453.2300109863281,3186.412109375,98.54000091552734,1097.800048828125,105.68000030517578,21.31999969482422,16346.4501953125,5912.39990234375,1922.030029296875,4643.6298828125,17697.9609375,3033.469970703125,27.010000228881836
2016-01-09,447.6109924316406,3016.7041015625,98.7300033569336,1096.5,104.73999786376953,21.139999389648438,16398.5703125,5871.7998046875,1923.6700439453125,4637.990234375,17697.9609375,3027.489990234375,24.299999237060547
2016-01-10,447.9909973144531,3016.7041015625,98.7300033569336,1096.5,104.73999786376953,21.139999389648438,16398.5703125,5871.7998046875,1923.6700439453125,4637.990234375,17697.9609375,3027.489990234375,24.299999237060547
2016-01-11,448.4280090332031,3016.7041015625,98.7300033569336,1096.5,104.73999786376953,21.139999389648438,16398.5703125,5871.7998046875,1923.6700439453125,4637.990234375,17697.9609375,3027.489990234375,24.299999237060547
2016-01-12,435.69000244140625,3022.861083984375,98.97000122070312,1085.5999755859375,104.20999908447266,21.040000915527344,16516.220703125,5929.2001953125,1938.6800537109375,4685.919921875,17218.9609375,3064.659912109375,22.469999313354492
2016-01-13,432.3710021972656,2949.596923828125,98.93000030517578,1087.5,104.72000122070312,21.139999389648438,16151.41015625,5961.0,1890.280029296875,4526.06005859375,17715.630859375,3073.02001953125,25.219999313354492
2016-01-14,430.3059997558594,3007.64892578125,99.08999633789062,1073.9000244140625,103.0199966430664,20.780000686645508,16379.0498046875,5918.2001953125,1921.8399658203125,4615.0,17240.94921875,3024.0,23.950000762939453
